time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider Proxy"
time="2020-04-24T13:55:56+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2020-04-24T13:55:56+08:00" level=info msg="HTTP proxy listening at: 127.0.0.1:7890"
time="2020-04-24T13:55:56+08:00" level=info msg="SOCKS proxy listening at: 127.0.0.1:7891"
time="2020-04-24T13:55:56+08:00" level=warning msg="Failed to start Redir UDP Listener: UDP redir not supported on current platform"
time="2020-04-24T13:55:56+08:00" level=info msg="Redir proxy listening at: 127.0.0.1:7892"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🍃 应用净化"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 🚀 节点选择"
time="2020-04-24T13:55:56+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🚀 节点选择"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🍃 应用净化"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2020-04-24T13:55:57+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
